artist_name,artist_genre
Nirvana,Grunge
Nightwish,Metal
Sonata Artica,Metal
The Beatles,Rock
Michael Jackson,Pop
Fleetwood Mac,Rock
The Clash,Punk
Jimi Hendrix,Rock
Stratovarius, Metal
Leviathan,Metal
Mayhem,Metal
Perkele,Punk
Bob Dylan,
Pixies,Alternative
Led Zeppelin,Rock
Fugazi,Alternative
The Vaselines,Alternative
Within Temptation, Metal
Tracy Chapman,Folk
Pink Floyd,Progressive
Queens of the Stone Age,Alternative
Daft Punk,Electronic
Tones and I,Dance
Kraftklub,Punk
Depache Mode,Electronic
Blind Guardian,Metal
